full_path,created_time,EXIF_Make,EXIF_Model,EXIF_DateTime,image_filename,EXIF_XPKeywords
C:\2 WEEK PROJECT\sample_images\0a60dfc0-23e0-45c6-a4e8-ef06394f26ec.jpg,2025-12-24T08:01:12,,,,0a60dfc0-23e0-45c6-a4e8-ef06394f26ec.jpg,
C:\2 WEEK PROJECT\sample_images\13137abd-a08a-4048-bb47-8b47d6ae6dd5.jpg,2025-12-24T08:01:12,,,,13137abd-a08a-4048-bb47-8b47d6ae6dd5.jpg,
C:\2 WEEK PROJECT\sample_images\2630b25d-3367-44aa-ad39-bdcdeef6ed99.jpg,2025-12-24T08:01:12,,,,2630b25d-3367-44aa-ad39-bdcdeef6ed99.jpg,
C:\2 WEEK PROJECT\sample_images\297da913-627d-4154-b33f-dc4bdda9dec5.jpg,2025-12-24T08:01:12,,,,297da913-627d-4154-b33f-dc4bdda9dec5.jpg,
C:\2 WEEK PROJECT\sample_images\44b39ee7-f00b-4407-978f-0adb61b97fb8.jpg,2025-12-24T08:01:12,,,,44b39ee7-f00b-4407-978f-0adb61b97fb8.jpg,
C:\2 WEEK PROJECT\sample_images\IMG_1683.JPG,2025-12-24T08:01:12,Apple,iPhone XR,2025:10:05 19:28:21,IMG_1683.JPG,
C:\2 WEEK PROJECT\sample_images\IMG_1699.HEIC,2025-12-24T08:01:12,,,,IMG_1699.HEIC,
C:\2 WEEK PROJECT\sample_images\IMG_2461.HEIC,2025-12-24T08:01:13,,,,IMG_2461.HEIC,
C:\2 WEEK PROJECT\sample_images\IMG_4600.jpg,2025-12-24T08:01:13,Apple,iPhone 7,2018:09:12 21:06:17,IMG_4600.jpg,
C:\2 WEEK PROJECT\sample_images\IMG_4751.jpg,2025-12-24T08:01:13,Apple,iPhone 7,2018:11:02 08:26:05,IMG_4751.jpg,
C:\2 WEEK PROJECT\sample_images\IMG_8229.heic,2025-12-24T08:01:13,,,,IMG_8229.heic,
C:\2 WEEK PROJECT\sample_images\IMG_9938.jpg,2025-12-15T22:41:20,Apple,iPhone 7,2020:11:14 18:24:35,IMG_9938.jpg,
C:\2 WEEK PROJECT\sample_images\LQQE4101.JPG,2025-12-15T18:26:01,,,,LQQE4101.JPG,
C:\2 WEEK PROJECT\sample_images\MDJO1384.JPG,2025-12-15T18:26:26,,,,MDJO1384.JPG,"sky,video,mountains"
C:\2 WEEK PROJECT\sample_images\MDPK0640.JPG,2025-12-15T18:26:26,,,,MDPK0640.JPG,
C:\2 WEEK PROJECT\sample_images\MOSW2264.JPG,2025-12-15T18:26:26,,,,MOSW2264.JPG,
C:\2 WEEK PROJECT\sample_images\MVQL6812.JPG,2025-12-15T18:26:26,,,,MVQL6812.JPG,
C:\2 WEEK PROJECT\sample_images\MYXO8155.JPG,2025-12-15T18:26:26,,,,MYXO8155.JPG,
C:\2 WEEK PROJECT\sample_images\NBZW4529.JPG,2025-12-15T18:26:26,,,,NBZW4529.JPG,
C:\2 WEEK PROJECT\sample_images\NJSP1750.JPG,2025-12-15T18:26:26,,,,NJSP1750.JPG,"mountains,sky"
C:\2 WEEK PROJECT\sample_images\NZLU6737.JPG,2025-12-15T18:26:26,,,,NZLU6737.JPG,"mountains,sky"
C:\2 WEEK PROJECT\sample_images\OUXC7111.JPG,2025-12-15T18:26:26,,,,OUXC7111.JPG,"sky,mountains"
C:\2 WEEK PROJECT\sample_images\PIUM1435.JPG,2025-12-15T18:26:26,,,,PIUM1435.JPG,
C:\2 WEEK PROJECT\sample_images\Photos (1)\IMG_0137.heic,2025-12-24T08:01:12,,,,IMG_0137.heic,
C:\2 WEEK PROJECT\sample_images\QPLF2622.JPG,2025-12-15T18:26:26,,,,QPLF2622.JPG,"mountains,sky,pano"
C:\2 WEEK PROJECT\sample_images\RBSD3433.JPG,2025-12-15T18:26:26,,,,RBSD3433.JPG,"sky,pano,mountains"
C:\2 WEEK PROJECT\sample_images\TIJV0077.JPG,2025-12-15T18:38:21,,,,TIJV0077.JPG,"exist1,exist3"
C:\2 WEEK PROJECT\sample_images\a8189fa6-aae6-4977-856c-7407f0a7a03c.jpg,2025-12-24T08:01:12,,,,a8189fa6-aae6-4977-856c-7407f0a7a03c.jpg,
C:\2 WEEK PROJECT\sample_images\af3637a6-ce2f-4e54-a133-cb42b0541af9 (1).jpg,2025-12-24T08:01:12,,,,af3637a6-ce2f-4e54-a133-cb42b0541af9 (1).jpg,
C:\2 WEEK PROJECT\sample_images\af3637a6-ce2f-4e54-a133-cb42b0541af9.jpg,2025-12-24T08:01:12,,,,af3637a6-ce2f-4e54-a133-cb42b0541af9.jpg,
C:\2 WEEK PROJECT\sample_images\d7ebfbe3-23a0-4c0b-8ba6-34f2a19f81fb.jpg,2025-12-24T08:01:12,,,,d7ebfbe3-23a0-4c0b-8ba6-34f2a19f81fb.jpg,
C:\2 WEEK PROJECT\sample_images\e533fa48-e716-4621-9183-b8b6f12345ca.jpg,2025-12-24T08:01:12,,,,e533fa48-e716-4621-9183-b8b6f12345ca.jpg,
C:\2 WEEK PROJECT\sample_images\e703eeab-6d94-4dec-9ea5-42397edcb288.jpg,2025-12-24T08:01:12,,,,e703eeab-6d94-4dec-9ea5-42397edcb288.jpg,
C:\2 WEEK PROJECT\sample_images\e747676b-2bb2-4172-bb11-5e75606c2a83.jpg,2025-12-24T08:01:12,,,,e747676b-2bb2-4172-bb11-5e75606c2a83.jpg,
C:\2 WEEK PROJECT\sample_images\fbebd490-c4fa-4f52-a637-a9416e6002c8.jpg,2025-12-24T08:01:12,,,,fbebd490-c4fa-4f52-a637-a9416e6002c8.jpg,
C:\2 WEEK PROJECT\sample_images\fc579681-8ac6-469e-817b-736e991ae369.jpg,2025-12-24T08:01:12,,,,fc579681-8ac6-469e-817b-736e991ae369.jpg,
C:\2 WEEK PROJECT\sample_images\fda88fd4-70cb-4460-af64-03014e434166.jpg,2025-12-24T08:01:12,,,,fda88fd4-70cb-4460-af64-03014e434166.jpg,
C:\2 WEEK PROJECT\sample_images\test1\141145f8-ea2b-4fb7-8d99-ed18d5eed7d5.jpg,2025-12-15T22:41:30,,,,141145f8-ea2b-4fb7-8d99-ed18d5eed7d5.jpg,sriram
